latitude,longitude,name,count
42.546245,1.601554,Andorra,2
23.424076,53.847818,United Arab Emirates,58
41.153332,20.168331,Albania,2
40.069099,45.038189,Armenia,12
-75.250973,-0.071389,Antarctica,1
-38.416097,-63.616672,Argentina,112
47.516231,14.550072,Austria,320
-25.274398,133.775136,Australia,962
40.143105,47.576927,Azerbaijan,2
43.915886,17.679076,Bosnia and Herzegovina,14
13.193887,-59.543198,Barbados,3
23.684994,90.356331,Bangladesh,2
50.503887,4.469936,Belgium,386
12.238333,-1.561593,Burkina Faso,4
42.733883,25.48583,Bulgaria,21
25.930414,50.637772,Bahrain,5
32.321384,-64.75737,Bermuda,3
4.535277,114.727669,Brunei,3
-14.235004,-51.92528,Brazil,636
53.709807,27.953389,Belarus,25
56.130366,-106.346771,Canada,1085
46.818188,8.227512,Switzerland,535
-35.675147,-71.542969,Chile,17
7.369722,12.354722,Cameroon,1
35.86166,104.195397,China,59
4.570868,-74.297333,Colombia,18
9.748917,-83.753428,Costa Rica,40
16.002082,-24.013197,Cape Verde,3
35.126413,33.429859,Cyprus,8
49.817492,15.472962,Czech Republic,176
51.165691,10.451526,Germany,2170
56.26392,9.501785,Denmark,191
15.414999,-61.370976,Dominica,1
18.735693,-70.162651,Dominican Republic,4
-1.831239,-78.183406,Ecuador,4
58.595272,25.013607,Estonia,16
26.820553,30.802498,Egypt,18
40.463667,-3.74922,Spain,1759
9.145,40.489673,Ethiopia,2
61.92411,25.748151,Finland,56
46.227638,2.213749,France,3444
55.378051,-3.435973,United Kingdom,4832
12.262776,-61.604171,Grenada,7
42.315407,43.356892,Georgia,8
3.933889,-53.125782,French Guiana,1
36.137741,-5.345374,Gibraltar,1
16.995971,-62.067641,Guadeloupe,1
39.074208,21.824312,Greece,74
13.444304,144.793731,Guam,1
22.396428,114.109497,Hong Kong,48
45.1,15.2,Croatia,254
47.162494,19.503304,Hungary,104
-0.789275,113.921327,Indonesia,9
53.41291,-8.24389,Ireland,6608
31.046051,34.851612,Israel,102
54.236107,-4.548056,Isle of Man,3
20.593684,78.96288,India,101
33.223191,43.679291,Iraq,1
64.963051,-19.020835,Iceland,11
41.87194,12.56738,Italy,2333
49.214439,-2.13125,Jersey,2
30.585164,36.238414,Jordan,15
36.204824,138.252924,Japan,50
-0.023559,37.906193,Kenya,2
35.907757,127.766922,South Korea,196
29.31166,47.481766,Kuwait,1
19.513469,-80.566956,Cayman Islands,1
48.019573,66.923684,Kazakhstan,2
33.854721,35.862285,Lebanon,21
7.873054,80.771797,Sri Lanka,1
-29.609988,28.233608,Lesotho,1
55.169438,23.881275,Lithuania,10
49.815273,6.129583,Luxembourg,37
56.879635,24.603189,Latvia,9
26.3351,17.228331,Libya,4
31.791702,-7.09262,Morocco,12
43.750298,7.412841,Monaco,1
47.411631,28.369885,Moldova,7
42.708678,19.37439,Montenegro,1
-18.766947,46.869107,Madagascar,1
41.608635,21.745275,Macedonia [FYROM],11
17.570692,-3.996166,Mali,2
22.198745,113.543873,Macau,5
14.641528,-61.024174,Martinique,2
35.937496,14.375416,Malta,24
3.202778,73.22068,Maldives,1
-13.254308,34.301525,Malawi,5
23.634501,-102.552784,Mexico,73
4.210484,101.975766,Malaysia,64
-20.904305,165.618042,New Caledonia,2
9.081999,8.675277,Nigeria,4
12.865416,-85.207229,Nicaragua,6
52.132633,5.291266,Netherlands,843
60.472024,8.468946,Norway,131
28.394857,84.124008,Nepal,5
-40.900557,174.885971,New Zealand,101
8.537981,-80.782127,Panama,8
-17.679742,-149.406843,French Polynesia,1
12.879721,121.774017,Philippines,27
30.375321,69.345116,Pakistan,1
51.919438,19.145136,Poland,94
18.220833,-66.590149,Puerto Rico,9
39.399872,-8.224454,Portugal,198
25.354826,51.183884,Qatar,6
-21.115141,55.536384,R�union,4
45.943161,24.96676,Romania,97
44.016521,21.005859,Serbia,35
61.52401,105.318756,Russia,274
23.885942,45.079162,Saudi Arabia,32
60.128161,18.643501,Sweden,184
1.352083,103.819836,Singapore,161
46.151241,14.995463,Slovenia,35
48.669026,19.699024,Slovakia,36
43.94236,12.457777,San Marino,5
14.497401,-14.452362,Senegal,2
5.152149,46.199616,Somalia,3
15.870032,100.992541,Thailand,28
33.886917,9.537499,Tunisia,2
38.963745,35.243322,Turkey,87
23.69781,120.960515,Taiwan,84
-6.369028,34.888822,Tanzania,1
48.379433,31.16558,Ukraine,63
1.373333,32.290275,Uganda,2
37.09024,-95.712891,United States,5811
-32.522779,-55.765835,Uruguay,14
41.377491,64.585262,Uzbekistan,3
6.42375,-66.58973,Venezuela,5
14.058324,108.277199,Vietnam,6
-30.559482,22.937506,South Africa,81
-19.015438,29.154857,Zimbabwe,1
